ticket_id,order_date,restaurant,meal_period,menu_item,item_category,quantity,unit_price,revenue,booking_source,guest_count,table_id
R20003,2025-01-01,Il Capriccio,Dinner,Panna Cotta,Dessert,1,7,7,Partner App,1,T07
R20090,2025-01-01,Bella Roma,Lunch,Risotto ai Funghi,Pasta,1,19,19,Walk-in,4,T08
R20103,2025-01-01,La Trattoria,Lunch,Gelato,Dessert,1,6,6,Online,4,T12
R20272,2025-01-01,Il Capriccio,Dinner,Panna Cotta,Dessert,1,7,7,Phone,4,T17
R20379,2025-01-01,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Phone,3,T13
R20495,2025-01-01,La Trattoria,Dinner,Panna Cotta,Dessert,1,7,7,Online,3,T10
R20499,2025-01-01,Bella Roma,Lunch,Diavola,Pizza,1,16,16,Online,4,T21
R20872,2025-01-01,Bella Roma,Lunch,Espresso,Drinks,1,3,3,Walk-in,3,T10
R21062,2025-01-01,La Trattoria,Dinner,Quattro Stagioni,Pizza,1,18,18,Phone,2,T22
R21068,2025-01-01,Bella Roma,Dinner,Risotto ai Funghi,Pasta,1,19,19,Partner App,4,T02
R21076,2025-01-01,Bella Roma,Lunch,Diavola,Pizza,3,16,48,Phone,2,T08
R20121,2025-01-02,La Trattoria,Lunch,Penne Arrabbiata,Pasta,1,14,14,Online,5,T07
R20132,2025-01-02,Il Capriccio,Lunch,Penne Arrabbiata,Pasta,1,14,14,Walk-in,2,T17
R20403,2025-01-02,La Trattoria,Lunch,Penne Arrabbiata,Pasta,1,14,14,Walk-in,1,T07
R20647,2025-01-02,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Phone,4,T03
R20786,2025-01-02,Il Capriccio,Dinner,Sparkling Water,Drinks,2,4,8,Online,4,T03
R20160,2025-01-03,Il Capriccio,Lunch,House Wine,Drinks,1,12,12,Online,2,T07
R20213,2025-01-03,Bella Roma,Lunch,Lasagna,Pasta,1,18,18,Partner App,3,T23
R20277,2025-01-03,La Trattoria,Dinner,Quattro Stagioni,Pizza,1,18,18,Online,4,T15
R20584,2025-01-03,La Trattoria,Lunch,Lasagna,Pasta,2,18,36,Phone,3,T18
R20633,2025-01-03,La Trattoria,Lunch,Gelato,Dessert,1,6,6,Walk-in,2,T14
R20665,2025-01-03,Il Capriccio,Lunch,Sparkling Water,Drinks,1,4,4,Online,2,T08
R20673,2025-01-03,Bella Roma,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Online,3,T07
R20873,2025-01-03,La Trattoria,Dinner,Sparkling Water,Drinks,3,4,12,Online,6,T14
R21151,2025-01-03,Il Capriccio,Dinner,Risotto ai Funghi,Pasta,1,19,19,Walk-in,5,T19
R20085,2025-01-04,La Trattoria,Dinner,Risotto ai Funghi,Pasta,1,19,19,Partner App,2,T13
R20156,2025-01-04,La Trattoria,Dinner,Lasagna,Pasta,1,18,18,Partner App,4,T25
R20320,2025-01-04,Il Capriccio,Dinner,Panna Cotta,Dessert,1,7,7,Partner App,4,T01
R20321,2025-01-04,Bella Roma,Lunch,Sparkling Water,Drinks,1,4,4,Online,2,T12
R20600,2025-01-04,Bella Roma,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Phone,1,T07
R20683,2025-01-04,La Trattoria,Dinner,Quattro Stagioni,Pizza,3,18,54,Online,3,T13
R20768,2025-01-04,Il Capriccio,Dinner,Risotto ai Funghi,Pasta,1,19,19,Walk-in,5,T22
R21009,2025-01-04,La Trattoria,Dinner,Diavola,Pizza,1,16,16,Phone,2,T20
R21145,2025-01-04,Bella Roma,Lunch,House Wine,Drinks,1,12,12,Online,4,T25
R20118,2025-01-05,Il Capriccio,Lunch,Panna Cotta,Dessert,2,7,14,Online,2,T21
R20405,2025-01-05,La Trattoria,Lunch,Penne Arrabbiata,Pasta,1,14,14,Walk-in,2,T21
R20434,2025-01-05,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Phone,6,T01
R20493,2025-01-05,Bella Roma,Dinner,Panna Cotta,Dessert,1,7,7,Online,1,T23
R20513,2025-01-05,La Trattoria,Lunch,Lasagna,Pasta,3,18,54,Online,3,T01
R20533,2025-01-05,Il Capriccio,Lunch,Margherita Pizza,Pizza,2,14,28,Phone,4,T19
R20564,2025-01-05,Il Capriccio,Lunch,Margherita Pizza,Pizza,1,14,14,Partner App,2,T14
R20648,2025-01-05,La Trattoria,Lunch,Penne Arrabbiata,Pasta,2,14,28,Partner App,2,T25
R20685,2025-01-05,Bella Roma,Lunch,Sparkling Water,Drinks,2,4,8,Online,2,T07
R20778,2025-01-05,La Trattoria,Dinner,Espresso,Drinks,1,3,3,Walk-in,2,T24
R20829,2025-01-05,Il Capriccio,Lunch,Penne Arrabbiata,Pasta,1,14,14,Online,1,T24
R21084,2025-01-05,Il Capriccio,Lunch,Gelato,Dessert,2,6,12,Online,4,T20
R21185,2025-01-05,La Trattoria,Dinner,Gelato,Dessert,1,6,6,Walk-in,4,T25
R21187,2025-01-05,Bella Roma,Lunch,Espresso,Drinks,2,3,6,Phone,2,T22
R20161,2025-01-06,Bella Roma,Lunch,Panna Cotta,Dessert,1,7,7,Partner App,3,T04
R20353,2025-01-06,Bella Roma,Dinner,Lasagna,Pasta,1,18,18,Phone,2,T15
R20397,2025-01-06,Il Capriccio,Lunch,Diavola,Pizza,1,16,16,Partner App,2,T18
R20422,2025-01-06,Il Capriccio,Dinner,Penne Arrabbiata,Pasta,1,14,14,Walk-in,3,T19
R20478,2025-01-06,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,2,16,32,Phone,2,T05
R20568,2025-01-06,La Trattoria,Lunch,Tiramisu,Dessert,1,8,8,Walk-in,1,T08
R20593,2025-01-06,Il Capriccio,Lunch,Espresso,Drinks,1,3,3,Online,6,T06
R21036,2025-01-06,Bella Roma,Lunch,Risotto ai Funghi,Pasta,2,19,38,Phone,4,T19
R21061,2025-01-06,Bella Roma,Lunch,House Wine,Drinks,1,12,12,Partner App,2,T02
R21183,2025-01-06,Bella Roma,Dinner,House Wine,Drinks,1,12,12,Phone,4,T08
R20115,2025-01-07,La Trattoria,Lunch,House Wine,Drinks,1,12,12,Walk-in,6,T24
R20174,2025-01-07,La Trattoria,Lunch,Panna Cotta,Dessert,1,7,7,Partner App,4,T15
R20191,2025-01-07,Bella Roma,Dinner,Sparkling Water,Drinks,1,4,4,Walk-in,3,T19
R20418,2025-01-07,La Trattoria,Lunch,Penne Arrabbiata,Pasta,1,14,14,Partner App,3,T11
R20709,2025-01-07,Il Capriccio,Dinner,Quattro Stagioni,Pizza,2,18,36,Online,4,T19
R21015,2025-01-07,Bella Roma,Lunch,Lasagna,Pasta,1,18,18,Walk-in,4,T15
R20004,2025-01-08,La Trattoria,Dinner,Penne Arrabbiata,Pasta,2,14,28,Partner App,1,T02
R20006,2025-01-08,Il Capriccio,Dinner,Margherita Pizza,Pizza,1,14,14,Walk-in,2,T19
R20038,2025-01-08,Il Capriccio,Dinner,Lasagna,Pasta,2,18,36,Phone,2,T06
R20239,2025-01-08,Bella Roma,Dinner,Tiramisu,Dessert,2,8,16,Phone,3,T09
R20545,2025-01-08,Il Capriccio,Lunch,Spaghetti Carbonara,Pasta,2,16,32,Partner App,1,T23
R20611,2025-01-08,Bella Roma,Lunch,Risotto ai Funghi,Pasta,1,19,19,Phone,5,T22
R20822,2025-01-08,La Trattoria,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Online,3,T19
R20878,2025-01-08,Bella Roma,Dinner,Penne Arrabbiata,Pasta,1,14,14,Partner App,3,T23
R20942,2025-01-08,Il Capriccio,Lunch,Penne Arrabbiata,Pasta,1,14,14,Online,4,T07
R20952,2025-01-08,Il Capriccio,Dinner,Gelato,Dessert,2,6,12,Phone,2,T22
R21000,2025-01-08,Il Capriccio,Dinner,Gelato,Dessert,1,6,6,Walk-in,3,T04
R20014,2025-01-09,Bella Roma,Dinner,Tiramisu,Dessert,2,8,16,Online,1,T07
R20024,2025-01-09,La Trattoria,Dinner,Gelato,Dessert,2,6,12,Online,5,T16
R20148,2025-01-09,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Partner App,2,T21
R20264,2025-01-09,La Trattoria,Lunch,Quattro Stagioni,Pizza,1,18,18,Walk-in,3,T16
R20267,2025-01-09,Il Capriccio,Lunch,Sparkling Water,Drinks,1,4,4,Online,4,T14
R20384,2025-01-09,Bella Roma,Lunch,Margherita Pizza,Pizza,2,14,28,Phone,2,T05
R20466,2025-01-09,La Trattoria,Lunch,Risotto ai Funghi,Pasta,2,19,38,Partner App,4,T04
R20579,2025-01-09,La Trattoria,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Partner App,2,T21
R20707,2025-01-09,Il Capriccio,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Online,6,T16
R20817,2025-01-09,Il Capriccio,Lunch,Quattro Stagioni,Pizza,1,18,18,Phone,3,T15
R20833,2025-01-09,La Trattoria,Dinner,Sparkling Water,Drinks,1,4,4,Online,2,T21
R20911,2025-01-09,La Trattoria,Lunch,Sparkling Water,Drinks,2,4,8,Partner App,2,T11
R20924,2025-01-09,Bella Roma,Lunch,Gelato,Dessert,1,6,6,Online,3,T11
R21085,2025-01-09,Bella Roma,Lunch,Sparkling Water,Drinks,1,4,4,Walk-in,6,T10
R21104,2025-01-09,Il Capriccio,Lunch,Gelato,Dessert,1,6,6,Walk-in,1,T21
R20036,2025-01-10,La Trattoria,Lunch,Margherita Pizza,Pizza,1,14,14,Partner App,2,T09
R20445,2025-01-10,Bella Roma,Lunch,Margherita Pizza,Pizza,2,14,28,Partner App,2,T10
R20520,2025-01-10,Bella Roma,Lunch,Penne Arrabbiata,Pasta,2,14,28,Phone,1,T24
R20596,2025-01-10,La Trattoria,Dinner,Panna Cotta,Dessert,1,7,7,Phone,5,T08
R20608,2025-01-10,Il Capriccio,Dinner,Diavola,Pizza,1,16,16,Online,4,T16
R20689,2025-01-10,Bella Roma,Lunch,Margherita Pizza,Pizza,1,14,14,Online,3,T04
R20764,2025-01-10,Il Capriccio,Lunch,Margherita Pizza,Pizza,2,14,28,Phone,1,T19
R20782,2025-01-10,La Trattoria,Lunch,Gelato,Dessert,2,6,12,Online,2,T03
R21161,2025-01-10,Il Capriccio,Dinner,Penne Arrabbiata,Pasta,1,14,14,Walk-in,1,T02
R20183,2025-01-11,Bella Roma,Dinner,Sparkling Water,Drinks,2,4,8,Phone,2,T02
R20185,2025-01-11,Il Capriccio,Dinner,Quattro Stagioni,Pizza,2,18,36,Walk-in,2,T15
R20431,2025-01-11,Il Capriccio,Dinner,Espresso,Drinks,1,3,3,Partner App,4,T13
R20519,2025-01-11,La Trattoria,Lunch,Margherita Pizza,Pizza,1,14,14,Online,3,T07
R20687,2025-01-11,La Trattoria,Lunch,Penne Arrabbiata,Pasta,3,14,42,Partner App,3,T23
R20695,2025-01-11,Bella Roma,Dinner,Quattro Stagioni,Pizza,2,18,36,Partner App,1,T02
R20805,2025-01-11,Il Capriccio,Dinner,Panna Cotta,Dessert,1,7,7,Partner App,5,T22
R20834,2025-01-11,Bella Roma,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Phone,2,T04
R20841,2025-01-11,La Trattoria,Dinner,Risotto ai Funghi,Pasta,2,19,38,Online,2,T08
R20937,2025-01-11,La Trattoria,Lunch,Gelato,Dessert,1,6,6,Walk-in,3,T16
R20974,2025-01-11,La Trattoria,Dinner,Gelato,Dessert,3,6,18,Partner App,3,T18
R21193,2025-01-11,Bella Roma,Lunch,Gelato,Dessert,1,6,6,Online,2,T21
R20040,2025-01-12,Il Capriccio,Lunch,House Wine,Drinks,1,12,12,Walk-in,2,T11
R20086,2025-01-12,La Trattoria,Lunch,Gelato,Dessert,1,6,6,Walk-in,5,T01
R20102,2025-01-12,Bella Roma,Dinner,Panna Cotta,Dessert,1,7,7,Walk-in,2,T12
R20329,2025-01-12,La Trattoria,Lunch,Tiramisu,Dessert,1,8,8,Partner App,3,T01
R20638,2025-01-12,Il Capriccio,Dinner,House Wine,Drinks,1,12,12,Partner App,3,T11
R20828,2025-01-12,La Trattoria,Lunch,Lasagna,Pasta,1,18,18,Walk-in,2,T04
R20877,2025-01-12,Bella Roma,Dinner,Lasagna,Pasta,2,18,36,Partner App,2,T19
R20960,2025-01-12,La Trattoria,Lunch,Espresso,Drinks,1,3,3,Partner App,3,T22
R21109,2025-01-12,La Trattoria,Dinner,Quattro Stagioni,Pizza,1,18,18,Partner App,2,T20
R21142,2025-01-12,Bella Roma,Dinner,Risotto ai Funghi,Pasta,1,19,19,Walk-in,4,T24
R20035,2025-01-13,Il Capriccio,Dinner,Penne Arrabbiata,Pasta,2,14,28,Phone,2,T12
R20055,2025-01-13,Bella Roma,Dinner,Tiramisu,Dessert,2,8,16,Partner App,4,T18
R20294,2025-01-13,Bella Roma,Dinner,Panna Cotta,Dessert,1,7,7,Online,1,T19
R20367,2025-01-13,Il Capriccio,Lunch,Sparkling Water,Drinks,1,4,4,Walk-in,1,T04
R20497,2025-01-13,Il Capriccio,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Partner App,4,T02
R20534,2025-01-13,La Trattoria,Dinner,Margherita Pizza,Pizza,2,14,28,Walk-in,2,T24
R20838,2025-01-13,Bella Roma,Lunch,Espresso,Drinks,1,3,3,Online,3,T07
R21058,2025-01-13,Bella Roma,Dinner,Tiramisu,Dessert,1,8,8,Partner App,2,T23
R21065,2025-01-13,La Trattoria,Lunch,Sparkling Water,Drinks,1,4,4,Walk-in,2,T13
R20082,2025-01-14,La Trattoria,Lunch,Tiramisu,Dessert,1,8,8,Partner App,4,T01
R20105,2025-01-14,La Trattoria,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Walk-in,2,T12
R20106,2025-01-14,Bella Roma,Lunch,Espresso,Drinks,1,3,3,Walk-in,4,T25
R20186,2025-01-14,La Trattoria,Lunch,Panna Cotta,Dessert,1,7,7,Partner App,1,T18
R20359,2025-01-14,Bella Roma,Lunch,Espresso,Drinks,1,3,3,Online,2,T21
R20366,2025-01-14,Bella Roma,Dinner,Espresso,Drinks,2,3,6,Online,2,T09
R20439,2025-01-14,Il Capriccio,Lunch,Spaghetti Carbonara,Pasta,2,16,32,Online,2,T23
R20751,2025-01-14,Bella Roma,Lunch,Diavola,Pizza,3,16,48,Phone,1,T06
R20758,2025-01-14,Il Capriccio,Dinner,Tiramisu,Dessert,1,8,8,Partner App,2,T08
R20839,2025-01-14,Bella Roma,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Online,1,T07
R20874,2025-01-14,Il Capriccio,Dinner,Margherita Pizza,Pizza,1,14,14,Walk-in,2,T17
R20984,2025-01-14,Bella Roma,Dinner,Risotto ai Funghi,Pasta,1,19,19,Online,3,T09
R21014,2025-01-14,Bella Roma,Dinner,Penne Arrabbiata,Pasta,2,14,28,Walk-in,5,T18
R21124,2025-01-14,Bella Roma,Lunch,Diavola,Pizza,1,16,16,Partner App,4,T04
R21158,2025-01-14,Il Capriccio,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Walk-in,3,T23
R20310,2025-01-15,Bella Roma,Lunch,Margherita Pizza,Pizza,2,14,28,Walk-in,2,T21
R20475,2025-01-15,Bella Roma,Dinner,Diavola,Pizza,1,16,16,Online,2,T16
R20586,2025-01-15,Bella Roma,Dinner,Risotto ai Funghi,Pasta,1,19,19,Partner App,1,T01
R20726,2025-01-15,Il Capriccio,Lunch,Lasagna,Pasta,1,18,18,Walk-in,3,T25
R20851,2025-01-15,Il Capriccio,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Online,1,T20
R20953,2025-01-15,Bella Roma,Dinner,Gelato,Dessert,1,6,6,Online,3,T14
R21186,2025-01-15,Il Capriccio,Lunch,Margherita Pizza,Pizza,2,14,28,Phone,3,T09
R21188,2025-01-15,La Trattoria,Dinner,House Wine,Drinks,1,12,12,Phone,4,T02
R20236,2025-01-16,Bella Roma,Lunch,Gelato,Dessert,1,6,6,Online,3,T22
R20631,2025-01-16,La Trattoria,Dinner,Quattro Stagioni,Pizza,1,18,18,Phone,2,T16
R20667,2025-01-16,Bella Roma,Dinner,Gelato,Dessert,1,6,6,Phone,3,T25
R20733,2025-01-16,Bella Roma,Dinner,Panna Cotta,Dessert,2,7,14,Phone,2,T02
R20923,2025-01-16,Bella Roma,Dinner,Margherita Pizza,Pizza,1,14,14,Partner App,5,T11
R20206,2025-01-17,La Trattoria,Dinner,Diavola,Pizza,1,16,16,Online,3,T06
R20229,2025-01-17,Il Capriccio,Dinner,Risotto ai Funghi,Pasta,1,19,19,Partner App,1,T14
R20249,2025-01-17,Il Capriccio,Dinner,Gelato,Dessert,1,6,6,Online,1,T09
R20280,2025-01-17,Il Capriccio,Lunch,Penne Arrabbiata,Pasta,1,14,14,Walk-in,1,T06
R20331,2025-01-17,Bella Roma,Lunch,Diavola,Pizza,2,16,32,Partner App,2,T21
R20355,2025-01-17,Bella Roma,Dinner,Risotto ai Funghi,Pasta,1,19,19,Walk-in,2,T04
R20524,2025-01-17,Bella Roma,Dinner,Margherita Pizza,Pizza,1,14,14,Walk-in,2,T08
R20843,2025-01-17,Il Capriccio,Dinner,Lasagna,Pasta,1,18,18,Partner App,3,T12
R20933,2025-01-17,Bella Roma,Dinner,Penne Arrabbiata,Pasta,2,14,28,Phone,4,T18
R21004,2025-01-17,Bella Roma,Lunch,Margherita Pizza,Pizza,2,14,28,Phone,2,T05
R20070,2025-01-18,Bella Roma,Lunch,Diavola,Pizza,1,16,16,Walk-in,3,T18
R20117,2025-01-18,Il Capriccio,Dinner,Diavola,Pizza,1,16,16,Phone,2,T03
R20128,2025-01-18,Bella Roma,Lunch,Lasagna,Pasta,1,18,18,Partner App,4,T16
R20309,2025-01-18,La Trattoria,Lunch,Lasagna,Pasta,1,18,18,Online,6,T16
R20412,2025-01-18,Il Capriccio,Lunch,Diavola,Pizza,1,16,16,Walk-in,2,T19
R20469,2025-01-18,La Trattoria,Lunch,Diavola,Pizza,1,16,16,Walk-in,2,T23
R20656,2025-01-18,Bella Roma,Lunch,Espresso,Drinks,2,3,6,Online,1,T19
R20712,2025-01-18,Bella Roma,Lunch,Spaghetti Carbonara,Pasta,1,16,16,Online,1,T25
R20836,2025-01-18,Bella Roma,Dinner,Sparkling Water,Drinks,1,4,4,Walk-in,2,T17
R20969,2025-01-18,La Trattoria,Dinner,Tiramisu,Dessert,1,8,8,Walk-in,3,T25
R20994,2025-01-18,La Trattoria,Lunch,Tiramisu,Dessert,2,8,16,Walk-in,2,T03
R21017,2025-01-18,Bella Roma,Dinner,Penne Arrabbiata,Pasta,1,14,14,Walk-in,1,T13
R21095,2025-01-18,Bella Roma,Lunch,Sparkling Water,Drinks,3,4,12,Phone,2,T13
R21106,2025-01-18,Il Capriccio,Lunch,Risotto ai Funghi,Pasta,1,19,19,Online,1,T21
R21111,2025-01-18,La Trattoria,Lunch,Sparkling Water,Drinks,1,4,4,Online,4,T04
R21115,2025-01-18,La Trattoria,Dinner,House Wine,Drinks,1,12,12,Partner App,5,T18
R20109,2025-01-19,La Trattoria,Dinner,Espresso,Drinks,1,3,3,Partner App,2,T18
R20481,2025-01-19,Bella Roma,Dinner,Sparkling Water,Drinks,1,4,4,Partner App,4,T15
R20766,2025-01-19,La Trattoria,Lunch,Quattro Stagioni,Pizza,2,18,36,Walk-in,3,T15
R21072,2025-01-19,La Trattoria,Lunch,Tiramisu,Dessert,1,8,8,Phone,4,T09
R21133,2025-01-19,Il Capriccio,Dinner,Panna Cotta,Dessert,1,7,7,Partner App,3,T05
R20029,2025-01-20,La Trattoria,Dinner,Margherita Pizza,Pizza,1,14,14,Partner App,1,T01
R20199,2025-01-20,Bella Roma,Lunch,Sparkling Water,Drinks,1,4,4,Online,4,T19
R20342,2025-01-20,Il Capriccio,Dinner,Gelato,Dessert,1,6,6,Walk-in,2,T21
R20507,2025-01-20,La Trattoria,Dinner,Sparkling Water,Drinks,1,4,4,Walk-in,2,T14
R20627,2025-01-20,Il Capriccio,Dinner,Sparkling Water,Drinks,1,4,4,Partner App,3,T13
R20818,2025-01-20,Il Capriccio,Lunch,Gelato,Dessert,1,6,6,Walk-in,3,T13
R20856,2025-01-20,Bella Roma,Dinner,Panna Cotta,Dessert,1,7,7,Online,2,T12
R20875,2025-01-20,La Trattoria,Lunch,Margherita Pizza,Pizza,1,14,14,Online,1,T23
R20891,2025-01-20,Il Capriccio,Lunch,Panna Cotta,Dessert,1,7,7,Partner App,6,T22
R21024,2025-01-20,Bella Roma,Lunch,Margherita Pizza,Pizza,1,14,14,Partner App,4,T22
R20254,2025-01-21,La Trattoria,Lunch,Sparkling Water,Drinks,1,4,4,Phone,4,T12
R20480,2025-01-21,La Trattoria,Dinner,Tiramisu,Dessert,1,8,8,Phone,2,T19
R20698,2025-01-21,Il Capriccio,Dinner,Margherita Pizza,Pizza,1,14,14,Online,5,T05
R20793,2025-01-21,Bella Roma,Dinner,Panna Cotta,Dessert,2,7,14,Phone,2,T01
R20869,2025-01-21,Il Capriccio,Dinner,Espresso,Drinks,1,3,3,Walk-in,2,T09
R20999,2025-01-21,Il Capriccio,Lunch,Gelato,Dessert,1,6,6,Online,4,T24
R21029,2025-01-21,Bella Roma,Lunch,Diavola,Pizza,3,16,48,Online,2,T15
R20456,2025-01-22,Bella Roma,Lunch,Margherita Pizza,Pizza,1,14,14,Walk-in,4,T14
R20473,2025-01-22,Bella Roma,Lunch,House Wine,Drinks,1,12,12,Walk-in,3,T16
R20483,2025-01-22,La Trattoria,Lunch,Diavola,Pizza,3,16,48,Phone,2,T24
R20504,2025-01-22,Bella Roma,Dinner,Sparkling Water,Drinks,1,4,4,Phone,1,T11
R20955,2025-01-22,Bella Roma,Lunch,Quattro Stagioni,Pizza,1,18,18,Walk-in,5,T25
R20182,2025-01-23,Bella Roma,Lunch,Diavola,Pizza,1,16,16,Partner App,1,T22
R20440,2025-01-23,La Trattoria,Lunch,Sparkling Water,Drinks,1,4,4,Walk-in,6,T06
R20708,2025-01-23,La Trattoria,Lunch,Espresso,Drinks,1,3,3,Phone,2,T04
R20775,2025-01-23,La Trattoria,Lunch,Panna Cotta,Dessert,1,7,7,Phone,1,T15
R20814,2025-01-23,Il Capriccio,Dinner,Sparkling Water,Drinks,1,4,4,Walk-in,2,T19
R21090,2025-01-23,Bella Roma,Dinner,Risotto ai Funghi,Pasta,3,19,57,Online,4,T18
R20050,2025-01-24,Il Capriccio,Lunch,Espresso,Drinks,1,3,3,Partner App,4,T06
R20067,2025-01-24,Il Capriccio,Dinner,Penne Arrabbiata,Pasta,1,14,14,Walk-in,4,T08
R20152,2025-01-24,Bella Roma,Lunch,Espresso,Drinks,1,3,3,Online,4,T07
R20357,2025-01-24,Bella Roma,Lunch,Risotto ai Funghi,Pasta,2,19,38,Partner App,3,T11
R20494,2025-01-24,Bella Roma,Dinner,Diavola,Pizza,1,16,16,Phone,1,T16
R20530,2025-01-24,La Trattoria,Lunch,Tiramisu,Dessert,1,8,8,Walk-in,3,T10
R20536,2025-01-24,Bella Roma,Dinner,Espresso,Drinks,1,3,3,Online,3,T12
R20756,2025-01-24,La Trattoria,Lunch,Lasagna,Pasta,1,18,18,Partner App,2,T19
R20904,2025-01-24,La Trattoria,Lunch,Margherita Pizza,Pizza,1,14,14,Walk-in,6,T23
R20930,2025-01-24,Il Capriccio,Lunch,Margherita Pizza,Pizza,1,14,14,Online,2,T13
R20945,2025-01-24,Bella Roma,Dinner,Lasagna,Pasta,1,18,18,Partner App,3,T06
R21123,2025-01-24,Bella Roma,Dinner,Espresso,Drinks,1,3,3,Partner App,3,T07
R20154,2025-01-25,La Trattoria,Dinner,Spaghetti Carbonara,Pasta,1,16,16,Partner App,4,T14
R20257,2025-01-25,Bella Roma,Lunch,Diavola,Pizza,2,16,32,Walk-in,5,T04
R20298,2025-01-25,La Trattoria,Lunch,Diavola,Pizza,1,16,16,Online,4,T25
R20335,2025-01-25,Bella Roma,Dinner,Diavola,Pizza,1,16,16,Online,2,T13
R20381,2025-01-25,Bella Roma,Lunch,Quattro Stagioni,Pizza,1,18,18,Walk-in,4,T14
R20517,2025-01-25,Il Capriccio,Lunch,Sparkling Water,Drinks,1,4,4,Phone,6,T10
R20541,2025-01-25,Il Capriccio,Lunch,Risotto ai Funghi,Pasta,1,19,19,Partner App,3,T08
R20772,2025-01-25,Bella Roma,Dinner,Lasagna,Pasta,1,18,18,Partner App,1,T16
R20812,2025-01-25,Il Capriccio,Lunch,Tiramisu,Dessert,1,8,8,Walk-in,1,T22
